id,parco,nome,superficie,provvedimento,comuni,elencoufficiale,altreinformazioni,indirizzo,gestore,provincie,email
243,Selecce-Molina,Riserva Locale Selecce-Molina,"5.43",null,Tione di Trento,null,www.parks.it/riserva.selecce-molina,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
244,Resconei,Riserva Locale Resconei,"3.72",null,Mazzin,null,www.parks.it/riserva.resconei,"c/o Comune General de Fascia (Comune capofila) - Strada di Pré de gejia, 2 - 38036 Pozza di Fassa (TN)",Rete di Riserve della Val di Fassa,TN,reteriserve@comungeneraldefascia.tn.it
245,Torbiera delle Viote,Riserva Naturale Provinciale Torbiera delle Viote,24,DGP 2699 17/10/03,Trento,EUAP0712,www.parks.it/riserva.torbiera.viote,"c/o Servizio Urbanistica e Ambiente del Comune di Trento. Via Belenzani, 18 - 38122 Trento (TN)",Rete di Riserve Bondone,TN,reteriserve_bondone@comune.trento.it
246,Alochet,Riserva Locale Alochet,"15.96",null,Moena,null,www.parks.it/riserva.alochet,"c/o Comune General de Fascia (Comune capofila) - Strada di Pré de gejia, 2 - 38036 Pozza di Fassa (TN)",Rete di Riserve della Val di Fassa,TN,reteriserve@comungeneraldefascia.tn.it
247,Grotta del Calgeron (IT3120134),Zona Speciale di Conservazione Grotta del Calgeron,"0.92",null,Grigno,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
248,Alpe di Cavallaccio nel Parco Nazionale dello Stelvio (IT3110040),Sito d'Interesse Comunitario e Zona di Protezione Speciale Alpe di Cavallaccio nel Parco Nazionale dello Stelvio,"3517.00",null,"Glorenza / Glurns, Prato allo Stelvio / Prad am Stilfserjoch, Tubre / Taufers im Münstertal",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
249,Paludi della volpe - Fuchsmoeser,VR - Biotopo Paludi della volpe - Fuchsmoeser,"4.04",DPGP 373 6/02/1998,Appiano sulla strada del vino / Eppan an der Weinstraße,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
250,Gravenon,VR - Biotopo Gravenon,"3.71",DPGP 349 28/12/1995,Appiano sulla strada del vino / Eppan an der Weinstraße,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
251,Bassa Valle del Chiese (IT3120120),Zona Speciale di Conservazione Bassa Valle del Chiese,27,null,Storo,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
252,"Zona di Flora Protetta ""Fennhalser Sattel"" - Pflanzenschutzgebiet Fennhalser Sattel","VR - Biotopo Zona di Flora Protetta ""Fennhalser Sattel"" - Pflanzenschutzgebiet Fennhalser Sattel","26.97",DPGP 296 2/03/1993,Cortaccia Strada del Vino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
253,Fiavé,Riserva Naturale Provinciale Fiavè,137,DGP 8087 15/07/1988,Fiavè,EUAP0473,www.parks.it/biotopo.fiave,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
254,Palude di Valles - Valser Moor,VR - Biotopo Palude di Valles - Valser Moor,"8.45",DPGP 153 18/05/1984,Rio di Pusteria,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
255,Biotopo Vegetazione Steppica Sonnenberg (IT3110010),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Vegetazione Steppica Sonnenberg,204,null,"Castelbello-Ciardes, Naturno",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
256,Parco Naturale dello Sciliar - Catinaccio (IT3110029),Zona Speciale di Conservazione e Zona di Protezione Speciale Parco Naturale dello Sciliar - Catinaccio,"7292.00",null,"Castelrotto, Fiè Allo Sciliar, Tires",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
257,Prati del Toro (A),Riserva Locale Prati del Toro (A),"0.88",null,Capriana,null,www.parks.it/riserva.prati.toroA,"c/o Comune di Altavalle - piazza Chiesa, 2 - 38092 Altavalle (TN)",Rete di Riserve Alta Valle di Cembra - Avisio,TN,protocollo@comune.altavalle.tn.it
258,Lagabrun (IT3120045),Zona Speciale di Conservazione Lagabrun,"4.65",null,"Cembra, Lisignago",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
259,Fontanazzo,Biotopo Fontanazzo,52,DGP 279 18/01/1994,Grigno,EUAP0475,www.parks.it/biotopo.fontanazzo,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
260,Ontaneto di Gais - Bachau,VR - Biotopo Ontaneto di Gais - Bachau,"2.51",DPGP 136 27/04/1983,Gais,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
261,Vedrette di Ries-Aurina / Rieserferner-Ahrn,Parco Naturale Vedrette di Ries-Aurina,"31505.00",DPGP 212/V/81 28/09/1988 - suc. mod,"Campo Tures, Gais, Perca, Predoi, Rasun Anterselva, Valle Aurina",EUAP0938,www.parks.it/parco.vedrette.ries.aurina,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
262,Sorte di Bellamonte (IT3120023),Zona Speciale di Conservazione Sorte di Bellamonte,11,null,Predazzo,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
263,Langmoos,VR - Biotopo Langmoos,"0.79",DPGP 311 3/03/1994,Meltina,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
264,Valle Primavera (Valle Fabion)  - Fruehlingstal (Fabiontal),VR - Biotopo Valle Primavera (Valle Fabion)  - Fruehlingstal (Fabiontal),"72.16",DPGP 349 28/12/1995,Caldaro Strada del Vino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
265,Lago Nero (IT3120019),Zona Speciale di Conservazione Lago Nero,2,null,Capriana,null,www.parks.it/IT3120019,"c/o Comune di Altavalle - piazza Chiesa, 2 - 38092 Altavalle (TN)",Rete di Riserve Alta Valle di Cembra - Avisio,TN,protocollo@comune.altavalle.tn.it
266,Froschlacke,VR - Biotopo Froschlacke,"0.54",DPGP 362/28/1 15/05/1997,San Candido,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
267,Monte Corno / Trudner Horn,Parco Naturale Monte Corno,"6866.00",DPGP 85/V/LS 16/12/1980 - suc. mod.,"Anterivo / Altrei, Egna, Montagna, Salorno, Trodena",EUAP0940,www.parks.it/parco.monte.corno,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
268,Fontanazzo (IT3120030),Zona Speciale di Conservazione e Zona di Protezione Speciale Fontanazzo,54,null,Grigno,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
269,Biotopo Palude del Lago di Varna - Vahrner Seemoor,Biotopo Palude del Lago di Varna - Vahrner Seemoor,"6.23",DPGP 218 20/12/1988,Varna,EUAP0423,www.parks.it/biotopo.palude.lago.varna,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
270,Biotopo Buche di Ghiaccio (IT3110033),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Buche di Ghiaccio,28,null,Appiano sulla strada del vino / Eppan an der Weinstraße,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
271,Biotopo Sommersurs,Biotopo Sommersurs,"2.67",DPGP 185 31/10/1986,Naz Sciaves,EUAP0428,www.parks.it/biotopo.sommersurs,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
272,Pra delle Nasse (IT3120028),Zona Speciale di Conservazione Pra delle Nasse,8,null,Primiero San Martino di Castrozza,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
273,Palude Brunnermoos,VR - Biotopo Palude Brunnermoos,"9.64",DPGP 1315 15/04/2002,San Lorenzo di Sebato,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
274,Ortles - Monte Madaccio nel Parco Nazionale dello Stelvio (IT3110039),Sito d'Interesse Comunitario e Zona di Protezione Speciale Ortles - Monte Madaccio nel Parco Nazionale dello Stelvio,"4188.00",null,Stelvio / Stilfs,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,BZ,reteareeprotette@provincia.tn.it
275,Tre Cime / Drei Zinnen,Parco naturale Tre Cime,"11863.00",DPGP 103 22/12/1981 - suc. mod.,"Dobbiaco, San Candido, Sesto",EUAP0937,www.parks.it/parco.dolomiti.sesto,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
276,Lago Costa,Biotopo Lago Costa,4,DGP 16945 30/11/1992,Pergine Valsugana,EUAP0481,www.parks.it/biotopo.lago.costa,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
277,Grotta Uvada (IT3120131),Zona Speciale di Conservazione Grotta Uvada,"1.16",null,Castello Tesino,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
278,Lodenmoor,VR - Biotopo Lodenmoor,"8.7",DPGP 364/28/1 9/07/1997,Renon,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
279,Alpi Ledrensi e Judicaria,Biosfera UNESCO Alpi Ledrensi e Judicaria,"47427.00",null,"Bleggio Superiore, Bondone, Comano Terme, Dorsino, Fiavè, Ledro, Riva del Garda, San Lorenzo Dorsino, Stenico, Storo, Tenno",null,www.parks.it/riserva.MAB.alpi.ledrensi.judicaria,"Via Dante, 46 - 38079 Tione di Trento (TN)",Segretariato Permanente Consorzio dei Comuni BIM Sarca Mincio Garda,TN,mabunesco@bimsarca.tn.it
280,Monte Brento (IT3120115),Zona Speciale di Conservazione Monte Brento,240,null,Dro,null,null,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
281,La Rupe,Biotopo La Rupe,47,DGP 15430 5/11/1993,"Mezzolombardo, Nave San Rocco",EUAP0478,www.parks.it/biotopo.rupe,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
282,Samermoos,VR - Biotopo Samermoos,"0.86",DPGP 311 3/03/1994,San Genesio Atesino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
283,Ontaneti dell'Aurino - Ahrauen,VR - Biotopo Ontaneti dell'Aurino - Ahrauen,"25.14",DPGP 220 3/01/1989,Campo Tures,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
284,Altenburger Tuempel,VR - Biotopo Altenburger Tuempel,"0.53",DPGP 397 9/08/1999,Caldaro Strada del Vino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
285,Biotopo Paludél - Adlermoesl,Biotopo Paludél - Adlermoesl,"5.29",DPGP 177 9/04/1986,Salorno,EUAP0425,www.parks.it/biotopo.paludel,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
286,Val San Nicolò (IT3120108),Zona Speciale di Conservazione Val San Nicolò,"715.35",null,Pozza di Fassa,null,www.parks.it/IT3120108,"c/o Comune General de Fascia (Comune capofila) - Strada di Pré de gejia, 2 - 38036 Pozza di Fassa (TN)",Rete di Riserve della Val di Fassa,TN,reteriserve@comungeneraldefascia.tn.it
287,Paludi di Sternigo,Biotopo Paludi Sternigo,"24.5",DGP 15429 5/11/1993,Baselga di Pinè,EUAP0502,www.parks.it/biotopo.paludi.sternigo,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
288,Nodo di Latemar (IT3120106),Zona Speciale di Conservazione Nodo di Latemar,"1862.40",null,"Moena, Predazzo, Vigo di Fassa",null,www.parks.it/IT3120106,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
289,Sciliar - Catinaccio / Schlern - Rosengarten,Parco Naturale dello Sciliar,"6796.00",DPGP 68 16/09/1974 - suc. mod.,"Castelrotto, Fiè Allo Sciliar, Tires",EUAP0941,www.parks.it/parco.sciliar,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
290,Palu' dei Mugheri (IT3120022),Zona Speciale di Conservazione Palu' dei Mugheri,"9.06",null,Predazzo,null,null,"Villa Welsperg - via Castelpietra, 2 - Val Canali - 38054 Tonadico (TN)",Ente Parco Naturale Paneveggio - Pale di San Martino,TN,info@parcopan.org
291,Biotopo Sonnenberg Vegetazione Steppica Kortscher Leiten (IT3110045),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Sonnenberg Vegetazione Steppica Kortscher Leiten,56,null,Silandro / Schlanders,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
292,Biotopo Torbiera Totes Moos,Biotopo Torbiera Totes Moos,"4.19",DPGP 299 17/08/1993,Nova Ponente,EUAP0433,www.parks.it/biotopo.torbiera.totes.moos,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
293,Alta Val La Mare (IT3120002),Sito d'Interesse Comunitario Alta Val La Mare,"5819.00",null,"Peio, Rabbi",null,null,,Parco Nazionale dello Stelvio,TN,null
294,Palude di Roncegno (IT3120033),Zona Speciale di Conservazione Palude di Roncegno,21,null,Pieve Tesino,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
295,Pozza nera sul Monte San Vigilio - Schwarze Lacke am Vigiljoch,VR - Biotopo Pozza nera sul Monte San Vigilio - Schwarze Lacke am Vigiljoch,"1.36",DPGP 58 18/04/1979,Marlengo,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
296,Lago di Toblino,Riserva Naturale Lago di Toblino,"169.5",DGP 16949 30/11/1992,"Madruzzo, Vallelaghi",EUAP0485,www.parks.it/biotopo.lago.toblino,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
297,Pra' delle Nasse,Biotopo Prà delle Nasse,"9.45",DGP 60 10/01/1994,Primiero San Martino di Castrozza,EUAP0504,www.parks.it/biotopo.pra.nasse,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
298,Lona - Lases (IT3120049),Zona Speciale di Conservazione Lona - Lases,26,null,Lona-Lases,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
299,Schrambacher Lacke,VR - Biotopo Schrambacher Lacke,"3.63",DPGP 290 30/12/1992,"Bressanone, Velturno",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
300,Grotta di Costalta (IT3120139),Zona Speciale di Conservazione Grotta di Costalta,"0.54",null,Borgo Valsugana,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
301,Grotta della Bigonda (IT3120135),Zona Speciale di Conservazione Grotta della Bigonda,"1.23",null,Ospedaletto,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
302,Kleines Moos,VR - Biotopo Kleines Moos,"0.77",DPGP 364/28/1 9/07/1997,Renon,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
303,Monpiana 1,Riserva Locale Monpiana 1,"0.76",null,Altavalle,null,www.parks.it/riserva.monpiana1,"c/o Comune di Altavalle - piazza Chiesa, 2 - 38092 Altavalle (TN)",Rete di Riserve Alta Valle di Cembra - Avisio,TN,protocollo@comune.altavalle.tn.it
304,Valle Scanderlotti,Riserva Locale Valle Scanderlotti,"3.01",null,Garniga Terme,null,www.parks.it/riserva.valle.scanderlotti,"c/o Servizio Urbanistica e Ambiente del Comune di Trento. Via Belenzani, 18 - 38122 Trento (TN)",Rete di Riserve Bondone,TN,reteriserve_bondone@comune.trento.it
305,Molina-Castello (IT3120113),Zona Speciale di Conservazione Molina-Castello,"53.9",null,"Castello-Molina di Fiemme, Cavalese",null,www.parks.it/IT3120113,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
306,Taio di Nomi (IT3120082),Zona Speciale di Conservazione e Zona di Protezione Speciale Taio di Nomi,"5.29",null,"Nomi, Volano",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
307,Lago d'ldro,Biotopo Lago d'Idro,"15.3",DGP 280 18/01/1994,Bondone,EUAP0483,www.parks.it/biotopo.lago.idro,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
308,Schoenau,VR - Biotopo Schoenau,"10.67",DPGP 184 7/10/1986,Racines,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
309,Ontaneti dell'Aurino (IT3110018),Zona Speciale di Conservazione e Zona di Protezione Speciale Ontaneti dell'Aurino,36,null,Campo Tures,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
310,Terlago (IT3120110),Zona Speciale di Conservazione Terlago,109,null,Vallelaghi,null,www.parks.it/IT3120110,"c/o Servizio Urbanistica e Ambiente del Comune di Trento. Via Belenzani, 18 - 38122 Trento (TN)",Rete di Riserve Bondone,TN,reteriserve_bondone@comune.trento.it
311,Tione - Villa Rendena (IT3120152),Zona Speciale di Conservazione Tione - Villa Rendena,"184.66",null,"Porte di Rendena, Tione di Trento",null,www.parks.it/IT3120152,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
312,Biotopo Palude Lago di Vizze - Pfitscher Seemoor,Biotopo Palude Lago di Vizze - Pfitscher Seemoor,"8.75",DPGP 162 1/02/1985,Val di Vizze,EUAP0424,www.parks.it/biotopo.palude.lago.vizze,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
313,Pra' dell'Albi-Cei,Biotopo Prà dell'Albi-Cei,120,DGP 16951 30/11/1992,Villa Lagarina,EUAP0503,www.parks.it/biotopo.pra.albi.cei,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
314,Biotopo Ahrau di Stegona (IT3110051),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Ahrau di Stegona,18,null,Brunico,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
315,Ilsterner Au,VR - Biotopo Ilsterner Au,"9.02",DPGP 313 17/03/1994,"Chienes, Vandoies",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
316,Grosses Moos,VR - Biotopo Grosses Moos,"2.15",DPGP 364/28/1 9/07/1997,Renon,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
317,Palù Longia,Biotopo Palu' Longia,10,DGP 16946 30/11/1992,Brez,EUAP0499,www.parks.it/biotopo.palu.longia,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
318,Laghestel di Pine' (IT3120035),Zona Speciale di Conservazione Laghestel di Pine',91,null,Baselga di Pinè,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
319,Eggermoesl,VR - Biotopo Eggermoesl,"0.11",DPGP 311 3/03/1994,Verano,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
320,Forra di S. Giustina (IT3120060),Zona Speciale di Conservazione Forra di S. Giustina,24,null,"Predaia, Ville d'Anaunia",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
